source_rank,file_name,image_path,fp,fn,errors,fp_classes,fn_classes,review_status,issue_type,proposed_action,reviewer,review_date,review_notes
11,MAR20_122.jpg,shiyan/data/images/train/MAR20_122.jpg,3,2,5,"A17_TU-95,A6_TU-160,A17_TU-95","A7_E-3,A7_E-3",pending,,,,,
12,MAR20_3665.jpg,shiyan/data/images/train/MAR20_3665.jpg,3,2,5,"A19_SU-34,A19_SU-34,A19_SU-34","A1_SU-35,A1_SU-35",pending,,,,,
13,01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,2,3,5,"MS,MS","MS,MS,MS",pending,,,,,
14,02-PAN-20250323-442-302-L00000000286-CCD7_6_crop1.jpg,shiyan/data/images/train/02-PAN-20250323-442-302-L00000000286-CCD7_6_crop1.jpg,2,3,5,"MS,MS","QHS,QHS,QHS",pending,,,,,
15,MAR20_1931.jpg,shiyan/data/images/train/MAR20_1931.jpg,4,0,4,"A2_C-130,A2_C-130,A2_C-130,A2_C-130",,pending,,,,,
16,MAR20_1963.jpg,shiyan/data/images/train/MAR20_1963.jpg,4,0,4,"A9_P-3C,A9_P-3C,A2_C-130,A9_P-3C",,pending,,,,,
17,fsc_AGZ-N24.15-E120.73-lv20-Google_crop0001.jpg,shiyan/data/images/train/fsc_AGZ-N24.15-E120.73-lv20-Google_crop0001.jpg,4,0,4,"FSC,FSC,FSC,FSC",,pending,,,,,
18,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.jpg,shiyan/data/images/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.jpg,2,2,4,"MS,QHS","MS,LQS",pending,,,,,
19,02-PAN-20250403-466-364-L00000001478-CCD18_4_crop5.jpg,shiyan/data/images/train/02-PAN-20250403-466-364-L00000001478-CCD18_4_crop5.jpg,2,2,4,"MS,MS","MS,MS",pending,,,,,
20,E129.6_N33.1_20180412_L1A0003117760-PAN23_crop4.jpg,shiyan/data/images/train/E129.6_N33.1_20180412_L1A0003117760-PAN23_crop4.jpg,2,2,4,"QHS,QHS","LQS,QHS",pending,,,,,
21,MAR20_3529.jpg,shiyan/data/images/train/MAR20_3529.jpg,2,2,4,"A19_SU-34,A19_SU-34","A1_SU-35,A1_SU-35",pending,,,,,
22,MAR20_674.jpg,shiyan/data/images/train/MAR20_674.jpg,2,2,4,"A4_C-5,A3_C-17","A13_F-15,A13_F-15",pending,,,,,
23,E139.6_N35.3_20200101_L1A0004517353-PAN10_crop1.jpg,shiyan/data/images/train/E139.6_N35.3_20200101_L1A0004517353-PAN10_crop1.jpg,0,4,4,,"QHS,QHS,QHS,QHS",pending,,,,,
24,01-PAN-20240511-152-202-L00000012357-CCD23_5_crop1.jpg,shiyan/data/images/train/01-PAN-20240511-152-202-L00000012357-CCD23_5_crop1.jpg,3,0,3,"MS,MS,MS",,pending,,,,,
25,01-PAN-20240511-152-202-L00000012357-CCD23_5_crop2.jpg,shiyan/data/images/train/01-PAN-20240511-152-202-L00000012357-CCD23_5_crop2.jpg,3,0,3,"MS,MS,MS",,pending,,,,,
26,01-PAN-20240514-449-311-L00000012648-CCD31_2_crop2.jpg,shiyan/data/images/train/01-PAN-20240514-449-311-L00000012648-CCD31_2_crop2.jpg,3,0,3,"MS,MS,MS",,pending,,,,,
27,E103.9_N1.2_20200419_L1A0004749016-PAN26_crop6.jpg,shiyan/data/images/train/E103.9_N1.2_20200419_L1A0004749016-PAN26_crop6.jpg,3,0,3,"MS,MS,MS",,pending,,,,,
28,MAR20_1394.jpg,shiyan/data/images/train/MAR20_1394.jpg,3,0,3,"A4_C-5,A4_C-5,A4_C-5",,pending,,,,,
29,MAR20_2153.jpg,shiyan/data/images/train/MAR20_2153.jpg,3,0,3,"A13_F-15,A13_F-15,A13_F-15",,pending,,,,,
30,MAR20_2683.jpg,shiyan/data/images/train/MAR20_2683.jpg,3,0,3,"A13_F-15,A13_F-15,A13_F-15",,pending,,,,,
