index,new_stem,old_image_name,old_label_name,new_image_name,new_label_name,old_image_relpath,old_label_relpath,new_image_relpath,new_label_relpath
12,0012,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.txt,0012.jpg,0012.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop2.txt,images/train/0012.jpg,labels/train/0012.txt
13,0013,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.txt,0013.jpg,0013.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop3.txt,images/train/0013.jpg,labels/train/0013.txt
14,0014,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.jpg,01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.txt,0014.jpg,0014.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop4.txt,images/train/0014.jpg,labels/train/0014.txt
15,0015,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.jpg,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.txt,0015.jpg,0015.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.txt,images/train/0015.jpg,labels/train/0015.txt
16,0016,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.jpg,01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.txt,0016.jpg,0016.txt,images/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.jpg,labels/train/01-PAN-20240420-113-325-L00000010882-CCD4_5_crop2.txt,images/train/0016.jpg,labels/train/0016.txt
17,0017,01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1.jpg,01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1.txt,0017.jpg,0017.txt,images/train/01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1.jpg,labels/train/01-PAN-20240420-113-325-L00000011195-CCD1_4_crop1.txt,images/train/0017.jpg,labels/train/0017.txt
18,0018,01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1.jpg,01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1.txt,0018.jpg,0018.txt,images/train/01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1.jpg,labels/train/01-PAN-20240421-105-323-L00000010830-CCD21_4_crop1.txt,images/train/0018.jpg,labels/train/0018.txt
19,0019,01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.jpg,01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.txt,0019.jpg,0019.txt,images/train/01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.jpg,labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_2_crop1.txt,images/train/0019.jpg,labels/train/0019.txt
20,0020,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.jpg,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.txt,0020.jpg,0020.txt,images/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.jpg,labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop1.txt,images/train/0020.jpg,labels/train/0020.txt
21,0021,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.jpg,01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.txt,0021.jpg,0021.txt,images/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.jpg,labels/train/01-PAN-20240421-423-694-L00000010874-CCD21_3_crop2.txt,images/train/0021.jpg,labels/train/0021.txt
22,0022,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.jpg,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.txt,0022.jpg,0022.txt,images/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.jpg,labels/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop1.txt,images/train/0022.jpg,labels/train/0022.txt
23,0023,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.jpg,01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.txt,0023.jpg,0023.txt,images/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.jpg,labels/train/01-PAN-20240421-423-694-L00000010874-CCD22_2_crop2.txt,images/train/0023.jpg,labels/train/0023.txt
24,0024,01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.txt,0024.jpg,0024.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_1_crop1.txt,images/train/0024.jpg,labels/train/0024.txt
25,0025,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.txt,0025.jpg,0025.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop1.txt,images/train/0025.jpg,labels/train/0025.txt
26,0026,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.txt,0026.jpg,0026.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop2.txt,images/train/0026.jpg,labels/train/0026.txt
27,0027,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.txt,0027.jpg,0027.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_2_crop3.txt,images/train/0027.jpg,labels/train/0027.txt
28,0028,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.txt,0028.jpg,0028.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop1.txt,images/train/0028.jpg,labels/train/0028.txt
29,0029,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.txt,0029.jpg,0029.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_3_crop2.txt,images/train/0029.jpg,labels/train/0029.txt
30,0030,01-PAN-20240422-253-245-L00000010552-CCD5_6_crop1.jpg,01-PAN-20240422-253-245-L00000010552-CCD5_6_crop1.txt,0030.jpg,0030.txt,images/train/01-PAN-20240422-253-245-L00000010552-CCD5_6_crop1.jpg,labels/train/01-PAN-20240422-253-245-L00000010552-CCD5_6_crop1.txt,images/train/0030.jpg,labels/train/0030.txt
31,0031,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.txt,0031.jpg,0031.txt,images/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,labels/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.txt,images/train/0031.jpg,labels/train/0031.txt
32,0032,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop2.jpg,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop2.txt,0032.jpg,0032.txt,images/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop2.jpg,labels/train/01-PAN-20240423-029-368-L00000011028-CCD29_4_crop2.txt,images/train/0032.jpg,labels/train/0032.txt
33,0033,01-PAN-20240423-439-569-L00000011168-CCD16_5_crop1.jpg,01-PAN-20240423-439-569-L00000011168-CCD16_5_crop1.txt,0033.jpg,0033.txt,images/train/01-PAN-20240423-439-569-L00000011168-CCD16_5_crop1.jpg,labels/train/01-PAN-20240423-439-569-L00000011168-CCD16_5_crop1.txt,images/train/0033.jpg,labels/train/0033.txt
34,0034,01-PAN-20240423-439-569-L00000011327-CCD15_5_crop1.jpg,01-PAN-20240423-439-569-L00000011327-CCD15_5_crop1.txt,0034.jpg,0034.txt,images/train/01-PAN-20240423-439-569-L00000011327-CCD15_5_crop1.jpg,labels/train/01-PAN-20240423-439-569-L00000011327-CCD15_5_crop1.txt,images/train/0034.jpg,labels/train/0034.txt
35,0035,01-PAN-20240423-439-569-L00000011327-CCD16_5_crop1.jpg,01-PAN-20240423-439-569-L00000011327-CCD16_5_crop1.txt,0035.jpg,0035.txt,images/train/01-PAN-20240423-439-569-L00000011327-CCD16_5_crop1.jpg,labels/train/01-PAN-20240423-439-569-L00000011327-CCD16_5_crop1.txt,images/train/0035.jpg,labels/train/0035.txt
36,0036,01-PAN-20240423-439-569-L00000011327-CCD16_5_crop2.jpg,01-PAN-20240423-439-569-L00000011327-CCD16_5_crop2.txt,0036.jpg,0036.txt,images/train/01-PAN-20240423-439-569-L00000011327-CCD16_5_crop2.jpg,labels/train/01-PAN-20240423-439-569-L00000011327-CCD16_5_crop2.txt,images/train/0036.jpg,labels/train/0036.txt
37,0037,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop1.jpg,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop1.txt,0037.jpg,0037.txt,images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop1.jpg,labels/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop1.txt,images/train/0037.jpg,labels/train/0037.txt
38,0038,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop2.jpg,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop2.txt,0038.jpg,0038.txt,images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop2.jpg,labels/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop2.txt,images/train/0038.jpg,labels/train/0038.txt
39,0039,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop4.jpg,01-PAN-20240424-146-259-L00000010574-CCD32_7_crop4.txt,0039.jpg,0039.txt,images/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop4.jpg,labels/train/01-PAN-20240424-146-259-L00000010574-CCD32_7_crop4.txt,images/train/0039.jpg,labels/train/0039.txt
40,0040,01-PAN-20240424-146-259-L00000010814-CCD11_5_crop1.jpg,01-PAN-20240424-146-259-L00000010814-CCD11_5_crop1.txt,0040.jpg,0040.txt,images/train/01-PAN-20240424-146-259-L00000010814-CCD11_5_crop1.jpg,labels/train/01-PAN-20240424-146-259-L00000010814-CCD11_5_crop1.txt,images/train/0040.jpg,labels/train/0040.txt
41,0041,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.jpg,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.txt,0041.jpg,0041.txt,images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.jpg,labels/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.txt,images/train/0041.jpg,labels/train/0041.txt
42,0042,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop2.jpg,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop2.txt,0042.jpg,0042.txt,images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop2.jpg,labels/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop2.txt,images/train/0042.jpg,labels/train/0042.txt
43,0043,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop3.jpg,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop3.txt,0043.jpg,0043.txt,images/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop3.jpg,labels/train/01-PAN-20240424-146-260-L00000010815-CCD32_3_crop3.txt,images/train/0043.jpg,labels/train/0043.txt
44,0044,01-PAN-20240429-304-323-L00000011120-CCD20_2_crop1.jpg,01-PAN-20240429-304-323-L00000011120-CCD20_2_crop1.txt,0044.jpg,0044.txt,images/train/01-PAN-20240429-304-323-L00000011120-CCD20_2_crop1.jpg,labels/train/01-PAN-20240429-304-323-L00000011120-CCD20_2_crop1.txt,images/train/0044.jpg,labels/train/0044.txt
45,0045,01-PAN-20240429-304-323-L00000011120-CCD20_4_crop1.jpg,01-PAN-20240429-304-323-L00000011120-CCD20_4_crop1.txt,0045.jpg,0045.txt,images/train/01-PAN-20240429-304-323-L00000011120-CCD20_4_crop1.jpg,labels/train/01-PAN-20240429-304-323-L00000011120-CCD20_4_crop1.txt,images/train/0045.jpg,labels/train/0045.txt
46,0046,01-PAN-20240429-304-323-L00000011120-CCD21_3_crop1.jpg,01-PAN-20240429-304-323-L00000011120-CCD21_3_crop1.txt,0046.jpg,0046.txt,images/train/01-PAN-20240429-304-323-L00000011120-CCD21_3_crop1.jpg,labels/train/01-PAN-20240429-304-323-L00000011120-CCD21_3_crop1.txt,images/train/0046.jpg,labels/train/0046.txt
47,0047,01-PAN-20240430-104-336-L00000011523-CCD22_6_crop3.jpg,01-PAN-20240430-104-336-L00000011523-CCD22_6_crop3.txt,0047.jpg,0047.txt,images/train/01-PAN-20240430-104-336-L00000011523-CCD22_6_crop3.jpg,labels/train/01-PAN-20240430-104-336-L00000011523-CCD22_6_crop3.txt,images/train/0047.jpg,labels/train/0047.txt
48,0048,01-PAN-20240430-104-336-L00000011523-CCD23_4_crop1.jpg,01-PAN-20240430-104-336-L00000011523-CCD23_4_crop1.txt,0048.jpg,0048.txt,images/train/01-PAN-20240430-104-336-L00000011523-CCD23_4_crop1.jpg,labels/train/01-PAN-20240430-104-336-L00000011523-CCD23_4_crop1.txt,images/train/0048.jpg,labels/train/0048.txt
49,0049,01-PAN-20240430-104-343-L00000011530-CCD26_4_crop1.jpg,01-PAN-20240430-104-343-L00000011530-CCD26_4_crop1.txt,0049.jpg,0049.txt,images/train/01-PAN-20240430-104-343-L00000011530-CCD26_4_crop1.jpg,labels/train/01-PAN-20240430-104-343-L00000011530-CCD26_4_crop1.txt,images/train/0049.jpg,labels/train/0049.txt
50,0050,01-PAN-20240430-104-348-L00000011535-CCD29_3_crop1.jpg,01-PAN-20240430-104-348-L00000011535-CCD29_3_crop1.txt,0050.jpg,0050.txt,images/train/01-PAN-20240430-104-348-L00000011535-CCD29_3_crop1.jpg,labels/train/01-PAN-20240430-104-348-L00000011535-CCD29_3_crop1.txt,images/train/0050.jpg,labels/train/0050.txt
51,0051,01-PAN-20240430-104-349-L00000011536-CCD22_4_crop1.jpg,01-PAN-20240430-104-349-L00000011536-CCD22_4_crop1.txt,0051.jpg,0051.txt,images/train/01-PAN-20240430-104-349-L00000011536-CCD22_4_crop1.jpg,labels/train/01-PAN-20240430-104-349-L00000011536-CCD22_4_crop1.txt,images/train/0051.jpg,labels/train/0051.txt
52,0052,01-PAN-20240430-227-632-L00000011561-CCD30_5_crop1.jpg,01-PAN-20240430-227-632-L00000011561-CCD30_5_crop1.txt,0052.jpg,0052.txt,images/train/01-PAN-20240430-227-632-L00000011561-CCD30_5_crop1.jpg,labels/train/01-PAN-20240430-227-632-L00000011561-CCD30_5_crop1.txt,images/train/0052.jpg,labels/train/0052.txt
53,0053,01-PAN-20240430-227-632-L00000011561-CCD30_6_crop2.jpg,01-PAN-20240430-227-632-L00000011561-CCD30_6_crop2.txt,0053.jpg,0053.txt,images/train/01-PAN-20240430-227-632-L00000011561-CCD30_6_crop2.jpg,labels/train/01-PAN-20240430-227-632-L00000011561-CCD30_6_crop2.txt,images/train/0053.jpg,labels/train/0053.txt
54,0054,01-PAN-20240430-297-348-L00000011339-CCD16_6_crop1.jpg,01-PAN-20240430-297-348-L00000011339-CCD16_6_crop1.txt,0054.jpg,0054.txt,images/train/01-PAN-20240430-297-348-L00000011339-CCD16_6_crop1.jpg,labels/train/01-PAN-20240430-297-348-L00000011339-CCD16_6_crop1.txt,images/train/0054.jpg,labels/train/0054.txt
55,0055,01-PAN-20240506-094-666-L00000011756-CCD4_1_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD4_1_crop1.txt,0055.jpg,0055.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop1.txt,images/train/0055.jpg,labels/train/0055.txt
56,0056,01-PAN-20240506-094-666-L00000011756-CCD4_1_crop2.jpg,01-PAN-20240506-094-666-L00000011756-CCD4_1_crop2.txt,0056.jpg,0056.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD4_1_crop2.txt,images/train/0056.jpg,labels/train/0056.txt
57,0057,01-PAN-20240506-094-666-L00000011756-CCD4_3_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD4_3_crop1.txt,0057.jpg,0057.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD4_3_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD4_3_crop1.txt,images/train/0057.jpg,labels/train/0057.txt
58,0058,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop1.txt,0058.jpg,0058.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop1.txt,images/train/0058.jpg,labels/train/0058.txt
59,0059,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop2.jpg,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop2.txt,0059.jpg,0059.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop2.txt,images/train/0059.jpg,labels/train/0059.txt
60,0060,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop3.jpg,01-PAN-20240506-094-666-L00000011756-CCD8_2_crop3.txt,0060.jpg,0060.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop3.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD8_2_crop3.txt,images/train/0060.jpg,labels/train/0060.txt
61,0061,01-PAN-20240506-094-666-L00000011756-CCD8_3_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD8_3_crop1.txt,0061.jpg,0061.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD8_3_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD8_3_crop1.txt,images/train/0061.jpg,labels/train/0061.txt
62,0062,01-PAN-20240506-094-666-L00000011756-CCD8_5_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD8_5_crop1.txt,0062.jpg,0062.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD8_5_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD8_5_crop1.txt,images/train/0062.jpg,labels/train/0062.txt
63,0063,01-PAN-20240506-094-666-L00000011756-CCD9_1_crop1.jpg,01-PAN-20240506-094-666-L00000011756-CCD9_1_crop1.txt,0063.jpg,0063.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop1.txt,images/train/0063.jpg,labels/train/0063.txt
64,0064,01-PAN-20240506-094-666-L00000011756-CCD9_1_crop2.jpg,01-PAN-20240506-094-666-L00000011756-CCD9_1_crop2.txt,0064.jpg,0064.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD9_1_crop2.txt,images/train/0064.jpg,labels/train/0064.txt
65,0065,01-PAN-20240506-094-666-L00000011756-CCD9_2_crop2.jpg,01-PAN-20240506-094-666-L00000011756-CCD9_2_crop2.txt,0065.jpg,0065.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop2.txt,images/train/0065.jpg,labels/train/0065.txt
66,0066,01-PAN-20240506-094-666-L00000011756-CCD9_2_crop3.jpg,01-PAN-20240506-094-666-L00000011756-CCD9_2_crop3.txt,0066.jpg,0066.txt,images/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop3.jpg,labels/train/01-PAN-20240506-094-666-L00000011756-CCD9_2_crop3.txt,images/train/0066.jpg,labels/train/0066.txt
67,0067,01-PAN-20240506-094-666-L00000012249-CCD10_6_crop1.jpg,01-PAN-20240506-094-666-L00000012249-CCD10_6_crop1.txt,0067.jpg,0067.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop1.txt,images/train/0067.jpg,labels/train/0067.txt
68,0068,01-PAN-20240506-094-666-L00000012249-CCD10_6_crop2.jpg,01-PAN-20240506-094-666-L00000012249-CCD10_6_crop2.txt,0068.jpg,0068.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD10_6_crop2.txt,images/train/0068.jpg,labels/train/0068.txt
69,0069,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop1.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop1.txt,0069.jpg,0069.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop1.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop1.txt,images/train/0069.jpg,labels/train/0069.txt
70,0070,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop10.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop10.txt,0070.jpg,0070.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop10.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop10.txt,images/train/0070.jpg,labels/train/0070.txt
71,0071,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop11.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop11.txt,0071.jpg,0071.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop11.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop11.txt,images/train/0071.jpg,labels/train/0071.txt
72,0072,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop2.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop2.txt,0072.jpg,0072.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop2.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop2.txt,images/train/0072.jpg,labels/train/0072.txt
73,0073,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop5.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop5.txt,0073.jpg,0073.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop5.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop5.txt,images/train/0073.jpg,labels/train/0073.txt
74,0074,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop7.jpg,01-PAN-20240506-094-666-L00000012249-CCD11_6_crop7.txt,0074.jpg,0074.txt,images/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop7.jpg,labels/train/01-PAN-20240506-094-666-L00000012249-CCD11_6_crop7.txt,images/train/0074.jpg,labels/train/0074.txt
