scene_id,assigned_split,image_count,object_count,class_counts_json
01-PAN-20240513-456-304-L00000012443-CCD5_2,train,5,13,"{""3"": 13}"
01-PAN-20240513-456-304-L00000012443-CCD5_4,train,3,3,"{""3"": 3}"
01-PAN-20240513-456-304-L00000012443-CCD6_1,train,2,7,"{""3"": 7}"
01-PAN-20240513-456-304-L00000012443-CCD6_2,train,11,24,"{""2"": 3, ""3"": 21}"
01-PAN-20240513-456-304-L00000012443-CCD6_3,train,7,8,"{""3"": 8}"
01-PAN-20240513-456-304-L00000012443-CCD6_4,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-304-L00000012443-CCD6_5,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-304-L00000012443-CCD7_3,train,10,31,"{""3"": 31}"
01-PAN-20240513-456-304-L00000012443-CCD7_4,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD15_1,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD15_3,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD15_4,train,5,17,"{""3"": 17}"
01-PAN-20240513-456-305-L00000012444-CCD16_1,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-305-L00000012444-CCD16_2,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD16_3,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD16_4,val,1,1,"{""3"": 1}"
01-PAN-20240513-456-305-L00000012444-CCD18_1,train,1,3,"{""2"": 3}"
01-PAN-20240513-456-305-L00000012444-CCD18_3,train,2,3,"{""3"": 3}"
01-PAN-20240513-456-306-L00000012445-CCD25_2,val,1,1,"{""3"": 1}"
01-PAN-20240513-456-306-L00000012445-CCD26_1,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-307-L00000012446-CCD26_4,train,3,3,"{""3"": 3}"
01-PAN-20240513-456-307-L00000012446-CCD26_5,train,7,7,"{""3"": 7}"
01-PAN-20240513-456-307-L00000012446-CCD27_4,train,2,2,"{""3"": 2}"
01-PAN-20240513-456-307-L00000012446-CCD27_5,train,3,3,"{""3"": 3}"
01-PAN-20240513-456-307-L00000012446-CCD27_6,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-307-L00000012446-CCD30_2,val,1,1,"{""3"": 1}"
01-PAN-20240513-456-307-L00000012446-CCD30_3,train,4,4,"{""3"": 4}"
01-PAN-20240513-456-307-L00000012446-CCD31_1,train,1,1,"{""3"": 1}"
01-PAN-20240513-456-307-L00000012446-CCD31_2,train,4,4,"{""3"": 4}"
01-PAN-20240513-456-307-L00000012446-CCD31_3,train,7,7,"{""3"": 7}"
01-PAN-20240513-456-307-L00000012446-CCD32_2,train,8,13,"{""3"": 13}"
01-PAN-20240513-456-307-L00000012446-CCD32_3,train,2,5,"{""3"": 5}"
01-PAN-20240514-225-443-L00000012695-CCD25_3,train,7,7,"{""3"": 7}"
01-PAN-20240514-294-364-L00000012484-CCD11_6,train,1,2,"{""3"": 2}"
01-PAN-20240514-294-365-L00000012485-CCD11_3,val,1,1,"{""3"": 1}"
01-PAN-20240514-294-365-L00000012485-CCD12_2,train,1,1,"{""3"": 1}"
01-PAN-20240514-294-365-L00000012485-CCD12_3,train,2,2,"{""3"": 2}"
01-PAN-20240514-294-365-L00000012485-CCD13_3,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-302-L00000012639-CCD30_5,val,1,1,"{""3"": 1}"
01-PAN-20240514-449-302-L00000012639-CCD31_5,train,2,3,"{""2"": 1, ""3"": 2}"
01-PAN-20240514-449-307-L00000012644-CCD3_6,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD10_1,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD11_4,train,1,2,"{""3"": 2}"
01-PAN-20240514-449-308-L00000012645-CCD12_5,train,2,2,"{""3"": 2}"
01-PAN-20240514-449-308-L00000012645-CCD13_3,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD13_6,train,2,2,"{""3"": 2}"
01-PAN-20240514-449-308-L00000012645-CCD14_1,train,2,3,"{""3"": 3}"
01-PAN-20240514-449-308-L00000012645-CCD14_2,train,5,7,"{""3"": 7}"
01-PAN-20240514-449-308-L00000012645-CCD15_1,train,3,3,"{""3"": 3}"
01-PAN-20240514-449-308-L00000012645-CCD15_2,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD15_3,val,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD16_1,train,2,2,"{""3"": 2}"
01-PAN-20240514-449-308-L00000012645-CCD16_2,train,2,2,"{""3"": 2}"
01-PAN-20240514-449-308-L00000012645-CCD17_3,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD20_3,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD20_4,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD20_6,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-308-L00000012645-CCD3_1,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-309-L00000012646-CCD13_1,train,2,3,"{""3"": 3}"
01-PAN-20240514-449-309-L00000012646-CCD13_2,train,2,3,"{""3"": 3}"
01-PAN-20240514-449-309-L00000012646-CCD31_6,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-311-L00000012648-CCD21_2,train,1,1,"{""3"": 1}"
01-PAN-20240514-449-311-L00000012648-CCD22_2,val,3,3,"{""3"": 3}"
01-PAN-20240514-449-311-L00000012648-CCD22_3,val,2,2,"{""3"": 2}"
01-PAN-20240514-449-311-L00000012648-CCD23_3,train,1,2,"{""3"": 2}"
01-PAN-20240514-449-311-L00000012648-CCD31_1,val,1,1,"{""3"": 1}"
01-PAN-20240514-449-311-L00000012648-CCD31_2,val,2,3,"{""3"": 3}"
01-PAN-20240514-449-311-L00000012648-CCD32_1,train,1,1,"{""3"": 1}"
01-PAN-20240515-001-329-L00000012633-CCD9_5,train,2,5,"{""3"": 5}"
01-PAN-20240515-001-331-L00000012635-CCD19_3,train,4,11,"{""3"": 11}"
01-PAN-20240515-001-331-L00000012635-CCD19_4,train,2,3,"{""3"": 3}"
01-PAN-20240515-001-331-L00000012635-CCD19_5,train,5,8,"{""3"": 8}"
01-PAN-20240515-001-331-L00000012635-CCD19_6,val,1,1,"{""3"": 1}"
01-PAN-20250118-471-374-L00000075006-CCD18_4,val,1,1,"{""3"": 1}"
01-PAN-20250210-441-302-L00000100998-CCD17_1,train,5,6,"{""3"": 6}"
01-PAN-20250210-441-302-L00000100998-CCD18_2,train,9,13,"{""3"": 13}"
01-PAN-20250210-441-302-L00000100998-CCD18_3,train,6,8,"{""3"": 8}"
01-PAN-20250210-441-302-L00000100998-CCD18_4,val,3,5,"{""3"": 5}"
01-PAN-20250210-441-302-L00000100998-CCD19_5,train,1,2,"{""3"": 2}"
01-PAN-20250210-441-302-L00000100998-CCD23_1,train,3,6,"{""3"": 6}"
01-PAN-20250210-441-302-L00000100998-CCD23_2,train,2,2,"{""3"": 2}"
01-PAN-20250210-441-302-L00000100998-CCD23_3,train,1,2,"{""3"": 2}"
01-PAN-20250210-441-302-L00000100998-CCD23_4,train,6,10,"{""3"": 10}"
01-PAN-20250210-441-302-L00000100998-CCD24_1,train,3,4,"{""3"": 4}"
01-PAN-20250210-441-302-L00000100998-CCD24_2,train,2,6,"{""3"": 6}"
01-PAN-20250210-441-302-L00000100998-CCD24_4,train,3,7,"{""3"": 7}"
01-PAN-20250210-441-302-L00000100998-CCD25_5,val,5,6,"{""3"": 6}"
01-PAN-20250210-441-302-L00000100998-CCD25_6,val,7,9,"{""1"": 1, ""2"": 1, ""3"": 7}"
01-PAN-20250210-441-302-L00000100998-CCD26_5,train,2,9,"{""3"": 9}"
01-PAN-20250210-441-302-L00000100998-CCD26_6,train,1,1,"{""2"": 1}"
01-PAN-20250321-446-308-L00000101035-CCD21_4,train,1,1,"{""3"": 1}"
01-PAN-20250328-462-374-L00000101101-CCD19_6,train,2,4,"{""2"": 2, ""3"": 2}"
01-PAN-20250328-462-374-L00000101101-CCD20_5,train,2,8,"{""3"": 8}"
01-PAN-20250328-462-374-L00000101101-CCD20_6,train,5,6,"{""3"": 6}"
01-PAN-20250328-462-374-L00000101101-CCD21_4,train,2,5,"{""2"": 3, ""3"": 2}"
01-PAN-20250328-462-374-L00000101101-CCD21_5,train,13,49,"{""2"": 11, ""3"": 38}"
01-PAN-20250328-462-374-L00000101101-CCD22_2,train,2,4,"{""2"": 2, ""3"": 2}"
01-PAN-20250328-462-374-L00000101101-CCD22_3,train,3,15,"{""2"": 13, ""3"": 2}"
01-PAN-20250328-462-375-L00000101102-CCD19_1,train,3,5,"{""2"": 2, ""3"": 3}"
01-PAN-20250328-462-375-L00000101102-CCD20_1,train,10,16,"{""3"": 16}"
01-PAN-20250328-462-375-L00000101102-CCD20_2,val,6,11,"{""3"": 11}"
01-PAN-20250328-462-375-L00000101102-CCD21_1,train,3,7,"{""3"": 7}"
01-PAN-20250331-442-283-L00000101157-CCD22_2,train,1,1,"{""3"": 1}"
01-PAN-20250331-442-283-L00000101157-CCD22_3,train,2,2,"{""3"": 2}"
01-PAN-20250403-166-186-L00000098801-CCD17_3,val,1,1,"{""3"": 1}"
01-PAN-20250404-004-390-L00000099138-CCD21_3,val,3,5,"{""3"": 5}"
01-PAN-20250404-004-390-L00000099138-CCD21_4,train,1,1,"{""3"": 1}"
01-PAN-20250404-004-398-L00000099146-CCD13_3,val,2,7,"{""2"": 1, ""3"": 6}"
01-PAN-20250404-005-440-L00000099179-CCD9_5,val,3,11,"{""3"": 11}"
01-PAN-20250404-320-224-L00000098913-CCD19_6,val,3,4,"{""3"": 4}"
01-PAN-20250404-320-224-L00000098913-CCD20_5,train,1,1,"{""3"": 1}"
01-PAN-20250404-320-230-L00000098919-CCD6_3,train,2,2,"{""3"": 2}"
01-PAN-20250404-320-230-L00000098919-CCD6_4,train,4,5,"{""3"": 5}"
01-PAN-20250405-061-361-L00000099504-CCD29_2,train,1,1,"{""3"": 1}"
01-PAN-20250405-061-361-L00000099504-CCD29_3,train,2,2,"{""3"": 2}"
01-PAN-20250405-061-362-L00000099505-CCD14_3,train,1,2,"{""3"": 2}"
01-PAN-20250405-061-362-L00000099505-CCD15_3,train,3,4,"{""3"": 4}"
01-PAN-20250405-061-362-L00000099505-CCD22_2,train,2,8,"{""2"": 6, ""3"": 2}"
01-PAN-20250405-061-362-L00000099505-CCD22_3,train,8,30,"{""2"": 16, ""3"": 14}"
01-PAN-20250405-440-262-L00000099257-CCD28_5,train,1,2,"{""3"": 2}"
01-PAN-20250405-440-262-L00000099257-CCD29_5,train,1,3,"{""3"": 3}"
01-PAN-20250405-440-262-L00000099257-CCD31_5,train,4,8,"{""3"": 8}"
01-PAN-20250405-440-262-L00000099257-CCD32_5,val,2,3,"{""3"": 3}"
01-PAN-20250405-469-276-L00000099303-CCD10_3,train,1,2,"{""3"": 2}"
01-PAN-20250405-469-276-L00000099303-CCD11_2,train,1,1,"{""3"": 1}"
01-PAN-20250405-469-276-L00000099303-CCD11_5,train,3,3,"{""3"": 3}"
01-PAN-20250405-469-276-L00000099303-CCD11_6,train,1,1,"{""3"": 1}"
01-PAN-20250405-469-276-L00000099303-CCD12_4,val,1,1,"{""3"": 1}"
01-PAN-20250405-469-277-L00000099304-CCD15_2,train,8,26,"{""3"": 26}"
01-PAN-20250405-469-277-L00000099304-CCD15_6,train,2,2,"{""3"": 2}"
01-PAN-20250405-469-277-L00000099304-CCD17_3,train,1,1,"{""3"": 1}"
01-PAN-20250405-469-277-L00000099304-CCD18_4,val,3,4,"{""3"": 4}"
01-PAN-20250405-469-277-L00000099304-CCD19_4,train,1,1,"{""2"": 1}"
01-PAN-20250405-469-277-L00000099304-CCD19_5,train,3,5,"{""2"": 1, ""3"": 4}"
01-PAN-20250406-463-326-L00000099680-CCD14_1,train,1,1,"{""3"": 1}"
01-PAN-20250406-463-326-L00000099680-CCD14_2,train,3,4,"{""3"": 4}"
01-PAN-20250406-463-334-L00000099688-CCD13_2,train,1,2,"{""3"": 2}"
01-PAN-20250407-169-194-L00000100137-CCD13_1,train,6,10,"{""3"": 10}"
01-PAN-20250407-169-201-L00000100241-CCD9_1,train,3,9,"{""3"": 9}"
01-PAN-20250407-456-301-L00000100047-CCD1_4,train,12,36,"{""3"": 36}"
01-PAN-20250407-456-301-L00000100047-CCD1_5,train,7,12,"{""3"": 12}"
01-PAN-20250407-456-301-L00000100047-CCD1_6,train,4,7,"{""3"": 7}"
01-PAN-20250407-456-303-L00000100049-CCD5_6,train,6,14,"{""1"": 1, ""3"": 13}"
01-PAN-20250407-456-303-L00000100049-CCD6_6,train,4,7,"{""2"": 1, ""3"": 6}"
01-PAN-20250407-456-304-L00000100050-CCD10_3,val,1,2,"{""3"": 2}"
01-PAN-20250407-456-304-L00000100050-CCD11_3,train,5,8,"{""3"": 8}"
01-PAN-20250407-456-304-L00000100050-CCD11_4,train,5,10,"{""3"": 10}"
01-PAN-20250407-456-304-L00000100050-CCD13_3,train,3,8,"{""3"": 8}"
01-PAN-20250407-456-304-L00000100050-CCD14_3,train,4,11,"{""1"": 1, ""2"": 2, ""3"": 8}"
01-PAN-20250407-456-304-L00000100050-CCD14_4,train,3,3,"{""2"": 1, ""3"": 2}"
01-PAN-20250407-456-304-L00000100050-CCD15_2,train,3,16,"{""2"": 16}"
01-PAN-20250407-456-304-L00000100050-CCD15_3,train,4,14,"{""2"": 14}"
01-PAN-20250407-456-304-L00000100050-CCD16_1,train,3,5,"{""3"": 5}"
01-PAN-20250407-456-304-L00000100050-CCD16_2,train,4,7,"{""3"": 7}"
01-PAN-20250407-456-304-L00000100050-CCD5_1,train,4,15,"{""3"": 15}"
01-PAN-20250407-456-304-L00000100050-CCD5_2,train,1,3,"{""3"": 3}"
01-PAN-20250407-456-304-L00000100050-CCD6_1,val,2,2,"{""3"": 2}"
01-PAN-20250407-456-304-L00000100050-CCD6_2,val,3,5,"{""3"": 5}"
01-PAN-20250407-456-304-L00000100050-CCD6_3,train,2,5,"{""3"": 5}"
01-PAN-20250407-456-304-L00000100050-CCD7_2,train,1,3,"{""3"": 3}"
01-PAN-20250407-456-304-L00000100050-CCD7_3,train,4,9,"{""2"": 2, ""3"": 7}"
02-PAN-20250320-146-221-L00000000208-CCD32_1,train,1,1,"{""3"": 1}"
02-PAN-20250321-108-307-L00000000254-CCD17_1,train,3,3,"{""3"": 3}"
02-PAN-20250321-141-166-L00000000249-CCD11_3,train,2,3,"{""3"": 3}"
02-PAN-20250321-141-168-L00000000251-CCD15_2,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-302-L00000000225-CCD1_2,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-302-L00000000225-CCD2_1,train,6,7,"{""3"": 7}"
02-PAN-20250321-455-302-L00000000225-CCD2_2,train,6,8,"{""3"": 8}"
02-PAN-20250321-455-302-L00000000225-CCD2_3,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-302-L00000000225-CCD3_1,train,9,20,"{""3"": 20}"
02-PAN-20250321-455-302-L00000000225-CCD3_2,train,3,4,"{""3"": 4}"
02-PAN-20250321-455-302-L00000000225-CCD4_1,train,1,2,"{""3"": 2}"
02-PAN-20250321-455-302-L00000000225-CCD4_2,train,9,17,"{""3"": 17}"
02-PAN-20250321-455-304-L00000000227-CCD13_4,train,5,13,"{""3"": 13}"
02-PAN-20250321-455-304-L00000000227-CCD13_5,train,3,5,"{""3"": 5}"
02-PAN-20250321-455-304-L00000000227-CCD14_4,train,2,4,"{""3"": 4}"
02-PAN-20250321-455-304-L00000000227-CCD14_5,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD15_4,train,1,3,"{""3"": 3}"
02-PAN-20250321-455-304-L00000000227-CCD16_3,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD16_4,train,1,2,"{""2"": 2}"
02-PAN-20250321-455-304-L00000000227-CCD17_3,train,4,21,"{""2"": 20, ""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD17_4,val,3,10,"{""2"": 10}"
02-PAN-20250321-455-304-L00000000227-CCD17_6,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD18_2,train,2,3,"{""3"": 3}"
02-PAN-20250321-455-304-L00000000227-CCD18_3,train,1,1,"{""2"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD18_4,val,1,1,"{""2"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD7_2,train,4,11,"{""2"": 3, ""3"": 8}"
02-PAN-20250321-455-304-L00000000227-CCD7_3,val,3,6,"{""2"": 1, ""3"": 5}"
02-PAN-20250321-455-304-L00000000227-CCD7_4,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD7_5,train,2,2,"{""2"": 1, ""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD8_2,train,6,16,"{""2"": 3, ""3"": 13}"
02-PAN-20250321-455-304-L00000000227-CCD8_3,train,3,8,"{""3"": 8}"
02-PAN-20250321-455-304-L00000000227-CCD8_4,train,6,8,"{""3"": 8}"
02-PAN-20250321-455-304-L00000000227-CCD8_5,train,1,1,"{""3"": 1}"
02-PAN-20250321-455-304-L00000000227-CCD9_4,train,4,11,"{""2"": 2, ""3"": 9}"
02-PAN-20250323-442-300-L00000000284-CCD2_5,train,3,6,"{""2"": 3, ""3"": 3}"
02-PAN-20250323-442-300-L00000000284-CCD6_6,train,2,6,"{""2"": 6}"
02-PAN-20250323-442-301-L00000000285-CCD5_3,train,1,1,"{""3"": 1}"
02-PAN-20250323-442-301-L00000000285-CCD5_4,train,1,1,"{""3"": 1}"
02-PAN-20250323-442-301-L00000000285-CCD6_2,val,8,13,"{""2"": 7, ""3"": 6}"
02-PAN-20250323-442-301-L00000000285-CCD6_3,train,4,9,"{""3"": 9}"
02-PAN-20250323-442-301-L00000000285-CCD6_5,train,4,6,"{""3"": 6}"
02-PAN-20250323-442-301-L00000000285-CCD7_6,train,2,3,"{""2"": 1, ""3"": 2}"
02-PAN-20250323-442-302-L00000000286-CCD3_3,train,2,2,"{""3"": 2}"
02-PAN-20250323-442-302-L00000000286-CCD3_4,train,1,3,"{""3"": 3}"
02-PAN-20250323-442-302-L00000000286-CCD4_2,train,2,2,"{""3"": 2}"
02-PAN-20250323-442-302-L00000000286-CCD4_6,val,1,1,"{""3"": 1}"
02-PAN-20250323-442-302-L00000000286-CCD5_1,val,2,2,"{""3"": 2}"
02-PAN-20250323-442-302-L00000000286-CCD6_6,train,2,6,"{""0"": 1, ""2"": 5}"
02-PAN-20250323-442-302-L00000000286-CCD7_2,train,9,11,"{""2"": 2, ""3"": 9}"
02-PAN-20250323-442-302-L00000000286-CCD7_3,train,8,17,"{""2"": 3, ""3"": 14}"
02-PAN-20250323-442-302-L00000000286-CCD7_4,val,7,8,"{""3"": 8}"
02-PAN-20250323-442-302-L00000000286-CCD7_5,train,3,4,"{""2"": 1, ""3"": 3}"
02-PAN-20250323-442-302-L00000000286-CCD7_6,val,2,8,"{""2"": 8}"
02-PAN-20250323-442-302-L00000000286-CCD8_2,train,1,1,"{""2"": 1}"
02-PAN-20250323-442-303-L00000000287-CCD6_2,train,3,14,"{""0"": 2, ""2"": 11, ""3"": 1}"
02-PAN-20250323-442-303-L00000000287-CCD7_1,train,1,1,"{""3"": 1}"
02-PAN-20250323-442-303-L00000000287-CCD7_2,train,1,4,"{""2"": 4}"
02-PAN-20250324-468-372-L00000000371-CCD16_3,train,1,1,"{""3"": 1}"
02-PAN-20250324-468-373-L00000000372-CCD16_2,train,1,1,"{""3"": 1}"
02-PAN-20250324-468-373-L00000000372-CCD23_3,train,1,1,"{""3"": 1}"
02-PAN-20250325-081-360-L00000000455-CCD15_6,train,3,6,"{""2"": 6}"
02-PAN-20250325-081-361-L00000000456-CCD15_1,val,3,8,"{""2"": 8}"
02-PAN-20250325-081-361-L00000000456-CCD15_3,val,2,2,"{""3"": 2}"
02-PAN-20250325-081-361-L00000000456-CCD15_4,train,1,1,"{""3"": 1}"
02-PAN-20250325-081-361-L00000000456-CCD15_5,train,1,1,"{""3"": 1}"
02-PAN-20250325-081-361-L00000000456-CCD16_4,train,2,3,"{""3"": 3}"
