scene_id,image_count,splits
01-PAN-20240514-449-311-L00000012648-CCD31_1,1,train
01-PAN-20240514-449-311-L00000012648-CCD31_2,2,train
01-PAN-20240514-449-311-L00000012648-CCD32_1,1,train
01-PAN-20240515-001-329-L00000012633-CCD9_5,2,train
01-PAN-20240515-001-331-L00000012635-CCD19_3,4,train
01-PAN-20240515-001-331-L00000012635-CCD19_4,2,train
01-PAN-20240515-001-331-L00000012635-CCD19_5,5,train
01-PAN-20240515-001-331-L00000012635-CCD19_6,1,train
01-PAN-20250118-471-374-L00000075006-CCD18_4,1,train
01-PAN-20250210-441-302-L00000100998-CCD17_1,5,train
01-PAN-20250210-441-302-L00000100998-CCD18_2,9,train
01-PAN-20250210-441-302-L00000100998-CCD18_3,6,train
01-PAN-20250210-441-302-L00000100998-CCD18_4,3,train
01-PAN-20250210-441-302-L00000100998-CCD19_5,1,train
01-PAN-20250210-441-302-L00000100998-CCD23_1,3,train
01-PAN-20250210-441-302-L00000100998-CCD23_2,2,train
01-PAN-20250210-441-302-L00000100998-CCD23_3,1,train
01-PAN-20250210-441-302-L00000100998-CCD23_4,6,train
01-PAN-20250210-441-302-L00000100998-CCD24_1,3,train
01-PAN-20250210-441-302-L00000100998-CCD24_2,2,train
01-PAN-20250210-441-302-L00000100998-CCD24_4,3,train
01-PAN-20250210-441-302-L00000100998-CCD25_5,5,train
01-PAN-20250210-441-302-L00000100998-CCD25_6,7,train
01-PAN-20250210-441-302-L00000100998-CCD26_5,2,train
01-PAN-20250210-441-302-L00000100998-CCD26_6,1,train
01-PAN-20250321-446-308-L00000101035-CCD21_4,1,train
01-PAN-20250328-462-374-L00000101101-CCD19_6,2,train
01-PAN-20250328-462-374-L00000101101-CCD20_5,2,train
01-PAN-20250328-462-374-L00000101101-CCD20_6,5,train
01-PAN-20250328-462-374-L00000101101-CCD21_4,2,train
01-PAN-20250328-462-374-L00000101101-CCD21_5,13,train
01-PAN-20250328-462-374-L00000101101-CCD22_2,2,train
01-PAN-20250328-462-374-L00000101101-CCD22_3,3,train
01-PAN-20250328-462-375-L00000101102-CCD19_1,3,train
01-PAN-20250328-462-375-L00000101102-CCD20_1,10,train
01-PAN-20250328-462-375-L00000101102-CCD20_2,6,train
01-PAN-20250328-462-375-L00000101102-CCD21_1,3,train
01-PAN-20250331-442-283-L00000101157-CCD22_2,1,train
01-PAN-20250331-442-283-L00000101157-CCD22_3,2,train
01-PAN-20250403-166-186-L00000098801-CCD17_3,1,train
01-PAN-20250404-004-390-L00000099138-CCD21_3,3,train
01-PAN-20250404-004-390-L00000099138-CCD21_4,1,train
01-PAN-20250404-004-398-L00000099146-CCD13_3,2,train
01-PAN-20250404-005-440-L00000099179-CCD9_5,3,train
01-PAN-20250404-320-224-L00000098913-CCD19_6,3,train
01-PAN-20250404-320-224-L00000098913-CCD20_5,1,train
01-PAN-20250404-320-230-L00000098919-CCD6_3,2,train
01-PAN-20250404-320-230-L00000098919-CCD6_4,4,train
01-PAN-20250405-061-361-L00000099504-CCD29_2,1,train
01-PAN-20250405-061-361-L00000099504-CCD29_3,2,train
01-PAN-20250405-061-362-L00000099505-CCD14_3,1,train
01-PAN-20250405-061-362-L00000099505-CCD15_3,3,train
01-PAN-20250405-061-362-L00000099505-CCD22_2,2,train
01-PAN-20250405-061-362-L00000099505-CCD22_3,8,train
01-PAN-20250405-440-262-L00000099257-CCD28_5,1,train
01-PAN-20250405-440-262-L00000099257-CCD29_5,1,train
01-PAN-20250405-440-262-L00000099257-CCD31_5,4,train
01-PAN-20250405-440-262-L00000099257-CCD32_5,2,train
01-PAN-20250405-469-276-L00000099303-CCD10_3,1,train
01-PAN-20250405-469-276-L00000099303-CCD11_2,1,train
01-PAN-20250405-469-276-L00000099303-CCD11_5,3,train
01-PAN-20250405-469-276-L00000099303-CCD11_6,1,train
01-PAN-20250405-469-276-L00000099303-CCD12_4,1,train
01-PAN-20250405-469-277-L00000099304-CCD15_2,8,train
01-PAN-20250405-469-277-L00000099304-CCD15_6,2,train
01-PAN-20250405-469-277-L00000099304-CCD17_3,1,train
01-PAN-20250405-469-277-L00000099304-CCD18_4,3,train
01-PAN-20250405-469-277-L00000099304-CCD19_4,1,train
01-PAN-20250405-469-277-L00000099304-CCD19_5,3,train
01-PAN-20250406-463-326-L00000099680-CCD14_1,1,train
01-PAN-20250406-463-326-L00000099680-CCD14_2,3,train
01-PAN-20250406-463-334-L00000099688-CCD13_2,1,train
01-PAN-20250407-169-194-L00000100137-CCD13_1,6,train
01-PAN-20250407-169-201-L00000100241-CCD9_1,3,train
01-PAN-20250407-456-301-L00000100047-CCD1_4,12,train
01-PAN-20250407-456-301-L00000100047-CCD1_5,7,train
01-PAN-20250407-456-301-L00000100047-CCD1_6,4,train
01-PAN-20250407-456-303-L00000100049-CCD5_6,6,train
01-PAN-20250407-456-303-L00000100049-CCD6_6,4,train
01-PAN-20250407-456-304-L00000100050-CCD10_3,1,train
01-PAN-20250407-456-304-L00000100050-CCD11_3,5,train
01-PAN-20250407-456-304-L00000100050-CCD11_4,5,train
01-PAN-20250407-456-304-L00000100050-CCD13_3,3,train
01-PAN-20250407-456-304-L00000100050-CCD14_3,4,train
01-PAN-20250407-456-304-L00000100050-CCD14_4,3,train
01-PAN-20250407-456-304-L00000100050-CCD15_2,3,train
01-PAN-20250407-456-304-L00000100050-CCD15_3,4,train
01-PAN-20250407-456-304-L00000100050-CCD16_1,3,train
01-PAN-20250407-456-304-L00000100050-CCD16_2,4,train
01-PAN-20250407-456-304-L00000100050-CCD5_1,4,train
01-PAN-20250407-456-304-L00000100050-CCD5_2,1,train
01-PAN-20250407-456-304-L00000100050-CCD6_1,2,train
01-PAN-20250407-456-304-L00000100050-CCD6_2,3,train
01-PAN-20250407-456-304-L00000100050-CCD6_3,2,train
01-PAN-20250407-456-304-L00000100050-CCD7_2,1,train
01-PAN-20250407-456-304-L00000100050-CCD7_3,4,train
02-PAN-20250320-146-221-L00000000208-CCD32_1,1,train
02-PAN-20250321-108-307-L00000000254-CCD17_1,3,train
02-PAN-20250321-141-166-L00000000249-CCD11_3,2,train
02-PAN-20250321-141-168-L00000000251-CCD15_2,1,train
02-PAN-20250321-455-302-L00000000225-CCD1_2,1,train
02-PAN-20250321-455-302-L00000000225-CCD2_1,6,train
02-PAN-20250321-455-302-L00000000225-CCD2_2,6,train
02-PAN-20250321-455-302-L00000000225-CCD2_3,1,train
02-PAN-20250321-455-302-L00000000225-CCD3_1,9,train
02-PAN-20250321-455-302-L00000000225-CCD3_2,3,train
02-PAN-20250321-455-302-L00000000225-CCD4_1,1,train
02-PAN-20250321-455-302-L00000000225-CCD4_2,9,train
02-PAN-20250321-455-304-L00000000227-CCD13_4,5,train
02-PAN-20250321-455-304-L00000000227-CCD13_5,3,train
02-PAN-20250321-455-304-L00000000227-CCD14_4,2,train
02-PAN-20250321-455-304-L00000000227-CCD14_5,1,train
02-PAN-20250321-455-304-L00000000227-CCD15_4,1,train
02-PAN-20250321-455-304-L00000000227-CCD16_3,1,train
02-PAN-20250321-455-304-L00000000227-CCD16_4,1,train
02-PAN-20250321-455-304-L00000000227-CCD17_3,4,train
02-PAN-20250321-455-304-L00000000227-CCD17_4,3,train
02-PAN-20250321-455-304-L00000000227-CCD17_6,1,train
02-PAN-20250321-455-304-L00000000227-CCD18_2,2,train
02-PAN-20250321-455-304-L00000000227-CCD18_3,1,train
02-PAN-20250321-455-304-L00000000227-CCD18_4,1,train
02-PAN-20250321-455-304-L00000000227-CCD7_2,4,train
02-PAN-20250321-455-304-L00000000227-CCD7_3,3,train
02-PAN-20250321-455-304-L00000000227-CCD7_4,1,train
02-PAN-20250321-455-304-L00000000227-CCD7_5,2,train
02-PAN-20250321-455-304-L00000000227-CCD8_2,6,train
02-PAN-20250321-455-304-L00000000227-CCD8_3,3,train
02-PAN-20250321-455-304-L00000000227-CCD8_4,6,train
02-PAN-20250321-455-304-L00000000227-CCD8_5,1,train
02-PAN-20250321-455-304-L00000000227-CCD9_4,4,train
02-PAN-20250323-442-300-L00000000284-CCD2_5,3,train
02-PAN-20250323-442-300-L00000000284-CCD6_6,2,train
02-PAN-20250323-442-301-L00000000285-CCD5_3,1,train
02-PAN-20250323-442-301-L00000000285-CCD5_4,1,train
02-PAN-20250323-442-301-L00000000285-CCD6_2,8,train
02-PAN-20250323-442-301-L00000000285-CCD6_3,4,train
02-PAN-20250323-442-301-L00000000285-CCD6_5,4,train
02-PAN-20250323-442-301-L00000000285-CCD7_6,2,train
02-PAN-20250323-442-302-L00000000286-CCD3_3,2,train
02-PAN-20250323-442-302-L00000000286-CCD3_4,1,train
02-PAN-20250323-442-302-L00000000286-CCD4_2,2,train
02-PAN-20250323-442-302-L00000000286-CCD4_6,1,train
02-PAN-20250323-442-302-L00000000286-CCD5_1,2,train
02-PAN-20250323-442-302-L00000000286-CCD6_6,2,train
02-PAN-20250323-442-302-L00000000286-CCD7_2,9,train
02-PAN-20250323-442-302-L00000000286-CCD7_3,8,train
02-PAN-20250323-442-302-L00000000286-CCD7_4,7,train
02-PAN-20250323-442-302-L00000000286-CCD7_5,3,train
02-PAN-20250323-442-302-L00000000286-CCD7_6,2,train
02-PAN-20250323-442-302-L00000000286-CCD8_2,1,train
02-PAN-20250323-442-303-L00000000287-CCD6_2,3,train
02-PAN-20250323-442-303-L00000000287-CCD7_1,1,train
02-PAN-20250323-442-303-L00000000287-CCD7_2,1,train
02-PAN-20250324-468-372-L00000000371-CCD16_3,1,train
02-PAN-20250324-468-373-L00000000372-CCD16_2,1,train
02-PAN-20250324-468-373-L00000000372-CCD23_3,1,train
02-PAN-20250325-081-360-L00000000455-CCD15_6,3,train
02-PAN-20250325-081-361-L00000000456-CCD15_1,3,train
02-PAN-20250325-081-361-L00000000456-CCD15_3,2,train
02-PAN-20250325-081-361-L00000000456-CCD15_4,1,train
02-PAN-20250325-081-361-L00000000456-CCD15_5,1,train
02-PAN-20250325-081-361-L00000000456-CCD16_4,2,train
02-PAN-20250325-462-360-L00000000422-CCD12_2,4,train
02-PAN-20250325-462-360-L00000000422-CCD12_3,2,train
02-PAN-20250325-462-360-L00000000422-CCD21_4,2,train
02-PAN-20250325-462-360-L00000000422-CCD22_4,1,train
02-PAN-20250326-108-335-L00000000593-CCD19_4,1,train
02-PAN-20250326-108-335-L00000000593-CCD19_5,1,train
02-PAN-20250326-108-335-L00000000593-CCD20_3,3,train
02-PAN-20250327-133-317-L00000000542-CCD32_4,2,train
02-PAN-20250329-087-336-L00000000675-CCD18_6,1,train
02-PAN-20250329-087-337-L00000000676-CCD11_6,1,train
02-PAN-20250329-087-337-L00000000676-CCD17_1,1,train
02-PAN-20250329-087-337-L00000000676-CCD18_1,1,train
02-PAN-20250329-087-338-L00000000677-CCD10_3,1,train
02-PAN-20250329-087-338-L00000000677-CCD10_4,3,train
02-PAN-20250329-087-338-L00000000677-CCD11_3,4,train
02-PAN-20250329-087-338-L00000000677-CCD11_4,2,train
02-PAN-20250329-089-274-L00000000683-CCD14_4,1,train
02-PAN-20250329-212-808-L00000000701-CCD24_3,1,train
02-PAN-20250329-467-288-L00000000665-CCD10_5,2,train
02-PAN-20250329-467-288-L00000000665-CCD14_3,1,train
02-PAN-20250329-467-288-L00000000665-CCD16_3,1,train
02-PAN-20250329-467-288-L00000000665-CCD19_5,1,train
02-PAN-20250329-467-290-L00000000667-CCD25_5,1,train
02-PAN-20250329-467-290-L00000000667-CCD26_5,2,train
02-PAN-20250329-467-290-L00000000667-CCD27_6,1,train
02-PAN-20250330-461-282-L00000000742-CCD26_1,1,train
02-PAN-20250330-461-284-L00000000744-CCD20_1,6,train
02-PAN-20250330-461-284-L00000000744-CCD23_4,6,train
02-PAN-20250402-255-280-L00000001117-CCD10_4,3,train
02-PAN-20250402-255-354-L00000001127-CCD8_5,3,train
02-PAN-20250403-149-294-L00000001223-CCD16_6,5,train
02-PAN-20250403-149-294-L00000001223-CCD17_6,1,train
02-PAN-20250403-149-295-L00000001224-CCD15_2,6,train
02-PAN-20250403-149-295-L00000001224-CCD16_2,7,train
02-PAN-20250403-149-295-L00000001224-CCD16_3,3,train
02-PAN-20250403-149-295-L00000001224-CCD17_1,1,train
02-PAN-20250403-209-692-L00000001219-CCD14_6,1,train
02-PAN-20250403-466-364-L00000001478-CCD18_1,4,train
02-PAN-20250403-466-364-L00000001478-CCD18_2,2,train
02-PAN-20250403-466-364-L00000001478-CCD18_3,6,train
02-PAN-20250403-466-364-L00000001478-CCD18_4,6,train
02-PAN-20250405-013-428-L00000001337-CCD28_3,6,train
02-PAN-20250405-013-428-L00000001337-CCD28_6,2,train
02-PAN-20250405-013-428-L00000001337-CCD29_1,8,train
02-PAN-20250405-013-428-L00000001337-CCD29_3,6,train
02-PAN-20250405-013-430-L00000001339-CCD20_2,1,train
02-PAN-20250405-013-430-L00000001339-CCD20_3,1,train
02-PAN-20250405-013-430-L00000001339-CCD26_4,3,train
02-PAN-20250414-140-169-L00000002665-CCD14_1,1,train
02-PAN-20250414-140-169-L00000002665-CCD22_1,1,train
02-PAN-20250414-140-169-L00000002665-CCD23_6,1,train
02-PAN-20250414-140-170-L00000002666-CCD8_5,1,train
02-PAN-20250414-201-668-L00000002680-CCD19_2,1,train
02-PAN-20250414-201-668-L00000002680-CCD20_5,2,train
02-PAN-20250414-201-668-L00000002680-CCD29_2,3,train
02-PAN-20250414-201-669-L00000002681-CCD20_1,2,train
02-PAN-20250414-201-674-L00000002686-CCD14_6,1,train
02-PAN-20250415-449-299-L00000002688-CCD28_4,1,train
02-PAN-20250415-449-299-L00000002688-CCD30_3,1,train
02-PAN-20250415-449-300-L00000002689-CCD26_4,1,train
02-PAN-20250415-449-300-L00000002689-CCD28_1,1,train
02-PAN-20250415-449-307-L00000002696-CCD11_6,2,train
02-PAN-20250415-449-307-L00000002696-CCD6_5,1,train
02-PAN-20250415-449-307-L00000002696-CCD7_5,2,train
02-PAN-20250415-449-308-L00000002697-CCD11_1,2,train
02-PAN-20250415-449-309-L00000002698-CCD29_6,1,train
02-PAN-20250415-449-310-L00000002699-CCD12_4,1,train
02-PAN-20250415-449-310-L00000002699-CCD30_1,1,train
02-PAN-20250415-449-310-L00000002699-CCD31_5,1,train
02-PAN-20250415-449-311-L00000002700-CCD24_6,2,train
02-PAN-20250415-449-311-L00000002700-CCD25_6,3,train
02-PAN-20250415-449-312-L00000002701-CCD24_1,3,train
02-PAN-20250415-449-312-L00000002701-CCD25_1,2,train
02-PAN-20250415-449-312-L00000002701-CCD3_6,2,train
02-PAN-20250415-449-313-L00000002702-CCD3_1,4,train
02-PAN-20250415-449-313-L00000002702-CCD4_1,3,train
02-PAN-20250415-449-313-L00000002702-CCD9_6,1,train
02-PAN-20250415-449-314-L00000002703-CCD9_1,3,train
02-PAN-20250415-449-317-L00000002706-CCD16_6,1,train
02-PAN-20250415-449-317-L00000002706-CCD30_6,1,train
02-PAN-20250415-449-317-L00000002706-CCD31_6,1,train
02-PAN-20250415-449-318-L00000002707-CCD23_2,1,train
02-PAN-20250415-449-318-L00000002707-CCD25_1,1,train
02-PAN-20250415-449-318-L00000002707-CCD31_1,1,train
02-PAN-20250415-449-319-L00000002708-CCD4_2,1,train
02-PAN-20250415-449-320-L00000002709-CCD25_5,1,train
02-PAN-20250415-449-320-L00000002711-CCD25_2,1,train
02-PAN-20250415-449-321-L00000002710-CCD25_4,1,train
02-PAN-20250415-449-321-L00000002712-CCD12_6,1,train
02-PAN-20250415-449-321-L00000002712-CCD26_4,1,train
E103.9_N1.2_20200419_L1A0004749016-PAN20,4,train
E103.9_N1.2_20200419_L1A0004749016-PAN21,6,train
E103.9_N1.2_20200419_L1A0004749016-PAN22,6,train
E103.9_N1.2_20200419_L1A0004749016-PAN24,1,train
E103.9_N1.2_20200419_L1A0004749016-PAN25,20,train
E103.9_N1.2_20200419_L1A0004749016-PAN26,17,train
E103.9_N1.2_20200419_L1A0004749016-PAN27,17,train
E103.9_N1.2_20200419_L1A0004749016-PAN28,8,train
E103.9_N1.2_20200419_L1A0004749016-PAN29,2,train
E112.9_N9.5_20151204_L1A0001219553-PAN22,4,train
E120.2_N14.7_20161023_L1A0001910573-PAN10,1,train
E120.2_N14.7_20161023_L1A0001910573-PAN12,3,train
E120.2_N14.7_20161023_L1A0001910573-PAN15,3,train
E120.2_N14.7_20161023_L1A0001910573-PAN19,4,train
E120.2_N14.7_20190309_L1A0003875932-PAN10,2,train
E120.2_N14.7_20190309_L1A0003875932-PAN13,1,train
E120.2_N14.7_20190309_L1A0003875932-PAN14,1,train
E120.2_N14.7_20190309_L1A0003875932-PAN17,1,train
E120.2_N14.9_20190309_L1A0003875931-PAN11,1,train
E120.2_N14.9_20190309_L1A0003875931-PAN13,1,train
E120.2_N14.9_20190309_L1A0003875931-PAN15,4,train
E121.9_N31.2_20181003_L2A0003786874-PAN11,2,train
E121.9_N31.2_20181003_L2A0003786874-PAN12,2,train
E121.9_N31.2_20181003_L2A0003786874-PAN14,3,train
E121.9_N31.2_20181003_L2A0003786874-PAN15,3,train
E121.9_N31.2_20181003_L2A0003786874-PAN18,2,train
E127.6_N26.2_20190313_L1A0003881008-PAN18,1,train
E127.9_N26.4_20170304_L1A0002218828-PAN14,2,train
E127.9_N26.4_20181214_L1A0003681395-PAN18,1,train
E128.0_N26.3_20180531_L1A0003228719-PAN20,1,train
E129.6_N33.1_20161027_L1A0001918498-PAN25,1,train
E129.6_N33.1_20161027_L1A0001931206-PAN29,6,train
E129.6_N33.1_20180412_L1A0003117760-PAN23,4,train
E129.6_N33.1_20180412_L1A0003117760-PAN26,1,train
E129.6_N33.1_20180808_L1A0003377803-PAN20,1,train
E129.6_N33.1_20181105_L1A0003574686-PAN21,1,train
E129.6_N33.1_20190620_L1A0004068124-PAN14,1,train
E129.6_N33.1_20190620_L1A0004068124-PAN18,1,train
E129.7_N33.1_20190212_L1A0003826486-PAN26,3,train
E129.7_N33.1_20190212_L1A0003826486-PAN29,2,train
E129.7_N33.1_20191021_L1A0004327310-PAN10,4,train
E129.7_N33.1_20191021_L1A0004327310-PAN14,1,train
E129.7_N33.1_20191021_L1A0004327310-PAN15,1,train
E129.7_N33.1_20191021_L1A0004327310-PAN17,1,train
E129.8_N33.1_20160512_L1A0001578277-PAN18,3,train
E139.6_N35.2_20170206_L1A0002169368-PAN20,3,train
E139.6_N35.2_20200404_L1A0004719335-PAN25,3,train
E139.6_N35.3_20160202_L1A0001384774-PAN10,1,train
E139.6_N35.3_20160202_L1A0001384774-PAN12,2,train
E139.6_N35.3_20160202_L1A0001384774-PAN17,3,train
E139.6_N35.3_20160202_L1A0001384774-PAN19,4,train
